year_month,log_chl_merged
2011-11,-0.1429109578239724
2011-12,0.22655622152539556
2012-01,-0.6374045740579285
2012-02,-1.652768911249877
2012-03,-1.629784945034817
2012-04,-1.785984178371528
2012-05,-1.295496163195741
2012-06,-1.9051655975336899
2012-07,-2.179585686288706
2012-08,-1.9778673852414366
2012-09,-1.5890968271912478
2012-10,-1.2619674500632787
2012-11,-1.1202028208140538
2012-12,-0.7804786996986955
2013-01,-1.1405036047088908
2013-02,-1.636561837646097
2013-03,-1.5496913230341576
2013-04,-1.9505286730366969
2013-05,-1.377628022548952
2013-07,-1.450365791361401
2013-08,-1.6823930877750133
2013-09,-0.9830313424986985
2013-10,-1.7340300934179187
2013-11,-0.7367133013363669
2013-12,-0.8806747652313469
2014-01,-1.5378407683440938
2014-02,-1.3074998166934977
2014-03,-1.8787170294840132
2014-04,-1.507644250442368
2014-05,-1.6624721951469175
2014-06,-2.0538354927409617
2014-07,-1.7197677757059757
2014-08,-1.7997967946684386
2014-09,-1.132282562349229
2014-10,-1.2104237084048872
2014-11,-1.0667346890522842
2014-12,-1.2526267165280889
2015-01,-1.5068002804617255
2015-02,-1.162651014724053
2015-03,-1.7839848748609832
2015-04,-2.2778475984840534
2015-05,-1.9443345087786694
2015-06,-1.6430415597807864
2015-07,-2.0515272820810044
2015-08,-1.6079299250188719
2015-09,-1.8691016403850034
2015-10,-1.4978497085204152
2015-11,-1.3838104535740265
2015-12,-1.0858037246756063
2016-01,-1.574498423976213
2016-02,-1.6512374783716295
2016-03,-1.2950356912454275
2016-04,-1.8781740397966158
2016-05,-1.8740619188212457
2016-06,-1.849456192930763
2016-07,-1.6601874730926833
2016-08,-0.9408402453286963
2016-09,-1.7330194409665256
2016-10,-1.00300548808735
2016-11,-0.8493127267845686
2016-12,-0.7838488665533816
2017-01,-1.3348940017140036
2017-02,-1.8791052089288482
2017-03,-1.5623376515376903
2017-04,-2.003267360963112
2017-05,-1.374702541613023
2017-06,-2.0825460807782017
2017-07,-1.088587778635592
2017-08,-1.3398572489213927
2017-09,-0.33560073923540196
2017-10,-0.7176080378826436
2017-11,-0.5574766487758878
2017-12,-0.7436466085638681
2018-01,-0.3838853677984184
2018-02,-1.2214889578466845
2018-03,-0.8722745791131516
2018-04,-1.9342945196906491
2018-05,-1.9036286453369633
2018-06,-1.899518116439443
2018-07,-1.8266215096115765
2018-08,-1.7159260010634605
2018-09,-1.6553976398216768
2018-10,-1.4313631312734874
2018-11,-1.1220304444424332
2018-12,-1.338569092321751
2019-01,-1.5198960419288556
2019-02,-1.985537551915644
2019-03,-1.8821295549156072
2019-04,-2.119026545338847
2019-05,-1.8761681880726346
2019-06,-1.961693751088997
2019-07,-2.315061191865425
2019-08,-1.6577769433794296
2019-09,-1.5830505513756723
2019-10,-1.755377888368582
2019-11,-1.3408176661456779
2019-12,-0.9796905515783547
2020-01,-1.0557862855151934
2020-02,-1.4198822361351708
2020-03,-1.275914707435275
2020-04,-1.6982779103323025
2020-05,-2.2125359440842085
2020-06,-1.914356244422728
2020-07,-1.7531449157139516
2020-08,-1.7933392964982466
2020-09,-1.8660593061712638
2020-10,-1.260131961706604
2020-11,-0.6887151963273513
2020-12,-1.1056518093052876
2021-01,-1.5894969246121404
2021-03,-1.4875308201791893
2021-04,-1.983250527197031
2021-05,-1.855329711299142
2021-06,-0.9576574493818196
2021-07,-1.3438275999701594
2021-08,-1.010458090572353
2021-09,-1.8545902413993285
2021-10,-1.6391843198974039
2021-11,-1.173636969909705
2021-12,-1.377384507018536
2022-01,-1.5049930583664233
2022-02,-0.7913387904495632
2022-03,-1.637421115584058
2022-04,-2.2022848913232025
2022-05,-2.020745962421305
2022-06,-2.098207231566957
2022-07,-1.6444784487449229
2022-08,-1.6509470904135986
2022-10,-1.2337063754814788
2022-11,-0.7472448883047439
2022-12,-1.000888314364656
2023-01,-1.4805451728292558
2023-03,-1.7744387961212915
2023-04,-2.0244078877200757
2023-05,-2.0948168829108216
2023-06,-2.0899247520748823
2023-07,-1.627584717956564
2023-08,-1.9018613530000534
2023-09,-1.8098186768515805
2023-11,-1.5264206239951226
2023-12,-1.5652843282747912
2024-01,-1.9761413915869568
2024-02,-1.2688851079696828
2024-03,-1.6937959092442756
2024-04,-1.8258715108477912
2024-05,-1.5261476790159934
2024-06,-1.9347718551432214
2024-07,-1.5302252481519425
2024-08,-1.4298721195165751
2024-09,-1.4976440182775612
2024-10,-1.4966648754576375
2024-11,-0.7071158706846287
2024-12,-1.132056927534859
2025-01,-1.1235272272330195
2025-02,-1.657269145932853
2025-03,-1.7373727599362954
2025-04,-2.0022904656866443
2025-05,-1.6492101952597802
2025-07,-1.6037935388307385
2025-08,-1.4373849895422035
2025-09,-1.5170643487404307
2025-10,-1.0468318472744285
2025-11,-1.0773051315001463
2025-12,-1.4333924635593907
2026-01,-1.4941486956083494
2026-02,-0.778104630268929
2026-03,-1.507312270222541
2026-04,-1.6253234853684662
2026-05,-1.9340349738097442
2026-06,-2.0169810934100383
