year_month,log_chl_merged,source,chl_a_mg_m3_merged
2010-07,-1.0919405940001778,MODIS,0.3355646666666667
2010-08,-1.6930449721160734,MODIS,0.1839585217391304
2010-09,-1.2658741315886441,MODIS,0.2819926896551724
2010-10,-1.231012813575472,MODIS,0.2919966896551724
2010-11,-1.0105048551605342,MODIS,0.3640351481481481
2010-12,-1.0486678156001494,MODIS,0.3504042413793103
2011-01,-1.3776256979573367,MODIS,0.2521765862068965
2011-02,-1.5987113380400508,MODIS,0.2021568620689655
2011-03,-1.8252099930244936,MODIS,0.1611837931034483
2011-04,-1.8659790476095204,MODIS,0.1547446333333333
2011-05,-1.6070186190635256,MODIS,0.2004844444444444
2011-06,-1.5190420609118775,MODIS,0.2189215
2011-07,-1.5637871949839588,MODIS,0.20934174999999997
2011-08,-1.6947182710184245,MODIS,0.1836509615384615
2011-09,-1.3684167226813684,MODIS,0.2545096
2011-10,-1.2268405695227254,MODIS,0.2932175161290323
2011-11,-0.5977256130200707,MODIS,0.5500612666666667
2011-12,-0.5533354643110826,MODIS,0.5750286206896552
2012-01,-0.8351172791184814,MODIS,0.4338236
2012-02,-1.771742666086198,MODIS,0.1700364137931034
2012-03,-1.761525757600409,MODIS,0.17178256521739127
2012-04,-1.8072368787787771,MODIS,0.1641069583333333
2012-05,-1.4894865942815068,MODIS,0.22548839285714284
2012-06,-1.829408700564572,MODIS,0.160508448275862
2012-07,-2.0521094237806077,MODIS,0.1284636333333333
2012-08,-1.6183038849877198,MODIS,0.19823464285714282
2012-09,-1.4845224472085146,MODIS,0.22661053333333328
2012-10,-0.9133113413359896,MODIS,0.4011935333333333
2012-11,-1.5344817947664873,MODIS,0.21556737037037027
2012-12,-1.079898685516072,MODIS,0.3396299333333333
2013-01,-1.2250598919024285,MODIS,0.2937401071428572
2013-02,-1.6109779309875079,MODIS,0.1996922333333333
2013-03,-1.747520730844513,MODIS,0.1742053103448275
2013-04,-1.993086955042421,MODIS,0.1362741034482758
2013-05,-2.1842641279735355,MODIS,0.11256053333333331
2013-07,-1.4050191063817912,MODIS,0.24536236842105258
2013-08,-1.7263080613270003,MODIS,0.17794014285714277
2013-09,-1.3595543924718512,MODIS,0.2567751724137931
2013-10,-1.6280610855598898,MODIS,0.1963098333333333
2013-11,-1.198044663400402,MODIS,0.30178372413793103
2013-12,-0.9946642307735504,MODIS,0.3698476071428572
2014-01,-1.4276675491860686,MODIS,0.23986775000000002
2014-02,-1.413118679665661,MODIS,0.24338306451612898
2014-03,-1.8566349761712233,MODIS,0.1561973548387097
2014-04,-1.6453735171249957,MODIS,0.19294048275862072
2014-05,-1.7751023300151205,MODIS,0.16946610714285706
2014-06,-1.9998443557674004,MODIS,0.135356349032258
2014-07,-1.776687410984038,MODIS,0.1691977024193548
2014-08,-1.7368035013258818,MODIS,0.17608234899999997
2014-09,-1.4308854929329582,MODIS,0.2390971096774193
2014-10,-1.4299929757063286,MODIS,0.2393106032258064
2014-11,-1.2751639688609124,MODIS,0.2793851539999999
2014-12,-1.2103582263512158,MODIS,0.2980904764375
2015-01,-1.4379639002259776,MODIS,0.2374106586875
2015-02,-1.463977990363936,MODIS,0.2313142761333333
2015-03,-1.694167433814862,MODIS,0.1837521511875
2015-04,-2.0483497355717066,MODIS,0.1289475256129032
2015-05,-1.8398166172351145,MODIS,0.15884655315625
2015-06,-1.3834270867936198,MODIS,0.2507178472222222
2015-07,-1.961482432873388,MODIS,0.1406497624666666
2015-08,-1.4997514420692615,MODIS,0.2231856278125
2015-09,-1.840807977055659,MODIS,0.1586891570967742
2015-10,-1.455561174232566,MODIS,0.233269422375
2015-11,-1.2042231313540572,MODIS,0.2999249112903225
2015-12,-1.0374354058464486,MODIS,0.35436231312499994
2016-01,-1.5810644898969137,MODIS,0.2057559564516129
2016-02,-1.8270282721313749,MODIS,0.1608909822666666
2016-03,-1.4037506475155357,MODIS,0.24567379796875002
2016-04,-1.9803219129138163,MODIS,0.1380247981935483
2016-05,-1.8606990254220066,MODIS,0.1555638492666666
2016-06,-1.8909567717708355,MODIS,0.15092733671875
2016-07,-1.9738618495096032,MODIS,0.1389193334074074
2016-08,-1.176248748196283,MODIS,0.3084335832258064
2016-09,-1.739330560113813,MODIS,0.1756379403125
2016-10,-1.1486867887188938,MODIS,0.31705285349999995
2016-11,-0.9026466521107843,MODIS,0.405495034
2016-12,-1.0361573183698929,MODIS,0.3548155087096774
2017-01,-1.4360169684600137,MODIS,0.2378733312903226
2017-02,-1.7544852436040375,MODIS,0.1729962703125
2017-03,-1.5703075135327258,MODIS,0.20798121548387094
2017-04,-1.9285269348073977,MODIS,0.1453621688
2017-05,-1.6843344691055437,MODIS,0.1855678920333333
2017-06,-1.9744374090543835,MODIS,0.1388394000645161
2017-07,-1.3593071596357484,MODIS,0.256838663516129
2017-08,-1.677407180430879,MODIS,0.1868578371428571
2017-09,-0.4549094570598082,MODIS,0.6345054153333333
2017-10,-0.8462951056793871,MODIS,0.4290013961290322
2017-11,-0.9271310803888018,MODIS,0.3956872785294117
2017-12,-1.1364345140202918,MODIS,0.3209613673529412
2018-01,-0.8561999927553415,MODIS,0.4247731604117646
2018-02,-1.2115969809122173,MODIS,0.297721444117647
2018-03,-0.65894049679735,MODIS,0.5173992303333333
2018-04,-1.8439750083810889,MODIS,0.1581873785588235
2018-05,-1.8597511685047794,MODIS,0.1557113714411764
2018-06,-1.6335290439362087,MODIS,0.19523934868571427
2018-07,-1.335352964641147,MODIS,0.2630653063157895
2018-08,-1.7584425084217359,MODIS,0.1723130310294117
2018-09,-1.6692224046020492,MODIS,0.188393502617647
2018-10,-1.4753194065325481,MODIS,0.2287056652941176
2018-11,-1.2075915224268705,MODIS,0.29891634647058823
2018-12,-1.2212828566697038,MODIS,0.2948516717647059
2019-01,-1.3584679790403005,MODIS,0.2570542879999999
2019-02,-1.9679047297269896,MODIS,0.1397493623529412
2019-03,-1.6124668839974794,MODIS,0.1993951222285714
2019-04,-1.9834284231125106,MODIS,0.1375966880588235
2019-05,-1.966051166694048,MODIS,0.1400086368214285
2019-06,-1.9518854608230642,MODIS,0.1420060721290322
2019-07,-2.1580516248457933,MODIS,0.11555003667741931
2019-08,-1.5734276193691827,MODIS,0.2073333033823529
2019-09,-1.862956440817155,MODIS,0.1552130731111111
2019-10,-1.685627518191266,MODIS,0.1853280987058823
2019-11,-1.308502698161069,MODIS,0.27022436105882347
2019-12,-0.701376153879443,MODIS,0.495902396
2020-01,-0.7674212068618851,MODIS,0.4642086241176471
2020-02,-1.5067990537697369,MODIS,0.2216182318571428
2020-03,-1.5348602717053788,MODIS,0.21548579852941166
2020-04,-1.5288953502800613,MODIS,0.2167749955428571
2020-05,-1.9938378560229015,MODIS,0.1361718135
2020-06,-1.7967109764968647,MODIS,0.16584345520588234
2020-07,-1.8012723383684277,MODIS,0.16508870584375002
2020-08,-1.1222917782636685,MODIS,0.3255328898787878
2020-09,-1.312560158758976,MODIS,0.2691301577058823
2020-10,-1.1465656863228395,MODIS,0.3177260687941176
2020-11,-0.9751956370013558,MODIS,0.377118568
2020-12,-1.118557058408905,MODIS,0.3267509371428572
2021-01,-1.5249694972829253,MODIS,0.21762769499999998
2021-03,-1.5701797203451546,MODIS,0.20800779576470577
2021-04,-1.8101421170524483,MODIS,0.1636308804117647
2021-05,-1.7928439273343602,MODIS,0.16648602161764697
2021-06,-0.8416598413524413,MODIS,0.4309945468181818
2021-07,-1.0693042083172648,MODIS,0.3432472629411764
2021-08,-1.1707477147651812,MODIS,0.3101349620588235
2021-09,-1.7053282147416564,MODIS,0.1817127355882352
2021-10,-1.1184494977372321,MODIS,0.3267860845833333
2021-11,-1.3074858337381545,MODIS,0.2704992823529412
2021-12,-1.2478949167100069,MODIS,0.2871085485714285
2022-01,-1.392818963651279,MODIS,0.24837415911764701
2022-02,-1.2998616430014087,MODIS,0.2725695023235294
2022-03,-1.6502379068899864,MODIS,0.19200422405882347
2022-04,-1.9639813378472286,VIIRS_corrected,0.14029873085565733
2022-05,-1.9274493597746667,VIIRS_corrected,0.1455188918690705
2022-06,-1.658670234848515,VIIRS_corrected,0.19039198847477495
2022-07,-1.4093309723955358,VIIRS_corrected,0.24430667640051304
2022-08,-1.6189798989232216,VIIRS_corrected,0.19810067876197152
2022-10,-1.3297563880593475,VIIRS_corrected,0.2645416989672816
2022-11,-1.0803400003299892,VIIRS_corrected,0.3394800826805921
2022-12,-1.0239122318407645,VIIRS_corrected,0.359186965124742
2023-01,-1.359797455651362,VIIRS_corrected,0.25671276740845356
2023-03,-1.3995351715185262,VIIRS_corrected,0.24671161587857002
2023-04,-1.732819352505893,VIIRS_corrected,0.17678528665727164
2023-05,-1.6120203542657048,VIIRS_corrected,0.1994841779605536
2023-06,-1.6141797704371297,VIIRS_corrected,0.19905387337127853
2023-07,-1.6472714801265904,VIIRS_corrected,0.1925746361523195
2023-08,-1.522412272594193,VIIRS_corrected,0.21818493009861653
2023-09,-1.2875618848763253,VIIRS_corrected,0.27594274377499667
2023-11,-1.363719037797709,VIIRS_corrected,0.25570801859320574
2023-12,-1.2797963494867721,VIIRS_corrected,0.2780939286581137
2024-01,-1.5541213897102564,VIIRS_corrected,0.2113750173439824
2024-02,-1.2759363633466032,VIIRS_corrected,0.2791694417658609
2024-03,-1.6197661042942255,VIIRS_corrected,0.19794499215317274
2024-04,-1.7742209288741715,VIIRS_corrected,0.16961554060878448
2024-05,-1.4638336893144142,VIIRS_corrected,0.23134765743456923
2024-06,-1.783524694192734,VIIRS_corrected,0.16804479567599112
2024-07,-1.7333583336580007,VIIRS_corrected,0.1766900283933039
2024-08,-1.5806422338932515,VIIRS_corrected,0.2058428564852531
2024-09,-1.4433794111750406,VIIRS_corrected,0.23612843375127468
2024-10,-1.3656771447201614,VIIRS_corrected,0.25520780484769656
2024-11,-0.9441167118848071,VIIRS_corrected,0.3890230386154925
2024-12,-1.2664350695112403,VIIRS_corrected,0.2818345536180465
2025-01,-1.1635037328510058,VIIRS_corrected,0.3123897310077148
2025-02,-1.5302719587741813,VIIRS_corrected,0.2164767865482909
2025-03,-1.526545474033981,VIIRS_corrected,0.21728498893162393
2025-04,-1.813120482248438,VIIRS_corrected,0.163144252929461
2025-05,-1.7339049589037643,VIIRS_corrected,0.17659347155571622
2025-07,-0.9406631799651302,VIIRS_corrected,0.39036886468586146
2025-08,-1.142375914763294,VIIRS_corrected,0.31906006105085793
2025-09,-0.9864697644836619,VIIRS_corrected,0.3728907623796996
2025-10,-0.8842155042920875,VIIRS_corrected,0.4130380728088657
2025-11,-1.010003619578748,VIIRS_corrected,0.3642176612546311
2025-12,-1.067300123274568,VIIRS_corrected,0.34393584940923666
2026-01,-1.2135825689373458,VIIRS_corrected,0.2971308784874331
2026-02,-0.9069289737233086,VIIRS_corrected,0.40376228659093616
2026-03,-1.2146495673236206,VIIRS_corrected,0.2968140093990402
2026-04,-1.3487772738210155,VIIRS_corrected,0.25955743436802053
2026-05,-1.347818594493642,VIIRS_corrected,0.2598063860279533
2026-06,-1.6993076866008774,VIIRS_corrected,0.18281004209424967
